State,City,College,Allocation_Subcategory,Gift_Allocation,Major,Gift_Amount
IA,Cedar Rapids,College of Arts and Sciences,College of Political Science,Scholarship,Apparel and Textiles,3110
MA,Boston,College of Agriculture and Natural Resources,University Annual Fund,Endowment,Environmental Studies and Agriscience,6906
NC,Raleigh,College of Social Science,Diversity Fund,Endowment,Criminal Justice,9422
FL,Tallahassee,College of Nursing,University Annual Fund,Endowment,Summer Research Program,4036
MI,Detroit,College of Natural Science,Trustees Fund,Endowment,Geological Sciences,5002
GA,Atlanta,College of Natural Science,Campus Museums,Campus Resource,Physical Science Interdepartmental,8925
MI,Detroit,College of Engineering,Campus Recreation,Campus Resource,Materials Science and Engineering,5175
TX,Dallas,College of Social Science,College of Arts and Sciences,Scholarship,Psychology,4328
AZ,Phoenix,College of Natural Science,Trustees Fund,Endowment,Physical Science Interdepartmental,2805
GA,Savannah,College of Social Science,College of Natural Science,Scholarship,Political Science-Prelaw,5845
MI,Lansing,College of Social Science,Trustees Fund,Endowment,Interdisciplinary Studies in Social Science,4204
MI,Lansing,College of Social Science,Athletics,Campus Resource,Interdisciplinary Studies in Social Science,6074
MA,Boston,College of Agriculture and Natural Resources,Trustees Fund,Endowment,Natural Resource Recreation and Tourism,9735
CO,Denver,College of Arts and Sciences,College of Natural Science,Scholarship,Interdisciplinary Humanities,14587.5
NC,Charlotte,College of Agriculture and Natural Resources,Alumni Association,Campus Resource,Horticulture,5020
AZ,Phoenix,College of Political Science,Alumni Association,Campus Resource,Social Relations and Policy,41
AZ,Phoenix,College of Political Science,University Annual Fund,Endowment,Social Relations and Policy,41
CO,Colorado Springs,College of Natural Science,Faculty Chair Endowments,Endowment,Human Biology,643
CO,Colorado Springs,College of Natural Science,Faculty Chair Endowments,Endowment,Human Biology,643
OK,Oklahoma City,College of Natural Science,College of Agriculture and Natural Resources,Scholarship,Earth Science Interdepartmental,3349
OK,Oklahoma City,College of Natural Science,Honors Program,Campus Resource,Earth Science Interdepartmental,3349
IL,Chicago,College of Social Science,College of Agriculture and Natural Resources,Scholarship,Urban and Regional Planning,1384
IL,Chicago,College of Social Science,Faculty Chair Endowments,Endowment,Urban and Regional Planning,1384
GA,Atlanta,College of Arts and Sciences,Trustees Fund,Endowment,German,2879
GA,Atlanta,College of Arts and Sciences,Faculty Chair Endowments,Endowment,German,2879
AL,Birmingham,College of Communication Arts and Sciences,Faculty Chair Endowments,Endowment,Media and Information,6003
AL,Birmingham,College of Communication Arts and Sciences,Faculty Chair Endowments,Endowment,Media and Information,6003
NY,New York,College of Business,University Annual Fund,Endowment,General Management,4065
NY,New York,College of Business,Faculty Chair Endowments,Endowment,General Management,4065
GA,Atlanta,College of Business,Minority Scholarship Fund,Scholarship,Finance,2379
GA,Atlanta,College of Business,College of Agriculture and Natural Resources,Scholarship,Finance,2379
OH,Cincinnati,College of Arts and Sciences,College of Agriculture and Natural Resources,Scholarship,Professional Writing,714
OH,Cincinnati,College of Arts and Sciences,Faculty Chair Endowments,Endowment,Professional Writing,714
WI,Madison,College of Political Science,Parents Association,Campus Resource,Social Relations and Policy,6479
WI,Madison,College of Political Science,College of Arts and Sciences,Scholarship,Social Relations and Policy,6479
TX,Houston,College of Social Science,College of Arts and Sciences,Scholarship,World Politics,6051
TX,Houston,College of Social Science,University Libraries,Campus Resource,World Politics,6051
WI,Madison,College of Social Science,College of Natural Science,Scholarship,Psychology,175
WI,Madison,College of Social Science,Diversity Fund,Endowment,Psychology,175
CO,Colorado Springs,College of Arts and Sciences,College of Arts and Sciences,Scholarship,Interdisciplinary Humanities,2119
CO,Colorado Springs,College of Arts and Sciences,College of Music,Scholarship,Interdisciplinary Humanities,2119
OH,Cincinnati,College of Natural Science,Faculty Chair Endowments,Endowment,Environmental Biology/Zoology,3240
OH,Cincinnati,College of Natural Science,College of Natural Science,Scholarship,Environmental Biology/Zoology,3240
CA,Los Angeles,College of Social Science,College of Education,Scholarship,Human Development and Family Studies,1563
CA,Los Angeles,College of Social Science,University Annual Fund,Endowment,Human Development and Family Studies,1563
NC,Durham,College of Social Science,College of Education,Scholarship,Economics,4607
NC,Durham,College of Social Science,Athletics,Campus Resource,Economics,4607
AZ,Mesa,College of Political Science,Athletics,Campus Resource,Social Relations and Policy,6182
AZ,Mesa,College of Political Science,University Annual Fund,Endowment,Social Relations and Policy,6182
CA,San Francisco,College of Music,College of Arts and Sciences,Scholarship,Music,7834
CA,San Francisco,College of Music,Parents Association,Campus Resource,Music,7834
NC,Charlotte,College of Natural Science,College of Education,Scholarship,Environmental Geosciences,9292
NC,Charlotte,College of Natural Science,Alumni Association,Campus Resource,Environmental Geosciences,9292
IA,Cedar Rapids,College of Arts and Sciences,College of Nursing,Scholarship,Arts & Letters-General,4461
IA,Cedar Rapids,College of Arts and Sciences,College of Social Science,Scholarship,Arts & Letters-General,4461
CO,Denver,College of Social Science,University Annual Fund,Endowment,History Education,7464
CO,Denver,College of Social Science,University Annual Fund,Endowment,History Education,7464
NV,Henderson,College of Natural Science,Trustees Fund,Endowment,Predental,5085
NV,Henderson,College of Natural Science,College of Social Science,Scholarship,Predental,5085
NM,Albuquerque,College of Social Science,Faculty Chair Endowments,Endowment,Anthropology,9079
NM,Albuquerque,College of Social Science,College of Education,Scholarship,Anthropology,9079
MO,St. Louis,College of Engineering,University Libraries,Campus Resource,Computer Science,7795
MO,St. Louis,College of Engineering,University Libraries,Campus Resource,Computer Science,7795
UT,West Valley City,College of Arts and Sciences,College of Arts and Sciences,Scholarship,Japanese,6155
UT,West Valley City,College of Arts and Sciences,Minority Scholarship Fund,Scholarship,Japanese,6155
KS,Wichita,College of Social Science,College of Natural Science,Scholarship,Psychology,7601
KS,Wichita,College of Social Science,Diversity Fund,Endowment,Psychology,7601
UT,Provo,College of Social Science,University Annual Fund,Endowment,Public Policy,3478
UT,Provo,College of Social Science,Athletics,Campus Resource,Public Policy,3478
NY,New York,College of Natural Science,In-State Scholarship Fund,Scholarship,Earth Science Interdepartmental,8006
NY,New York,College of Natural Science,University Libraries,Campus Resource,Earth Science Interdepartmental,8006
AZ,Phoenix,College of Natural Science,Diversity Fund,Endowment,Plant Biology,243
AZ,Phoenix,College of Natural Science,University Annual Fund,Endowment,Plant Biology,243
WA,Seattle,College of Agriculture and Natural Resources,College of Music,Scholarship,Food Industry Management,6205
WA,Seattle,College of Agriculture and Natural Resources,College of Nursing,Scholarship,Food Industry Management,6205
KS,Wichita,College of Agriculture and Natural Resources,College of Natural Science,Scholarship,Agriculture and Natural Resources-No Preference,8941
KS,Wichita,College of Agriculture and Natural Resources,Faculty Chair Endowments,Endowment,Agriculture and Natural Resources-No Preference,8941
NH,Manchester,College of Arts and Sciences,College of Arts and Sciences,Scholarship,Arts & Letters-General,5988
NH,Manchester,College of Arts and Sciences,University Annual Fund,Endowment,Arts & Letters-General,5988
NM,Albuquerque,College of Social Science,Honors Program,Campus Resource,Urban and Regional Planning,7641
NM,Albuquerque,College of Social Science,College of Music,Scholarship,Urban and Regional Planning,7641
CO,Colorado Springs,College of Arts and Sciences,College of Engineering,Scholarship,Philosophy,631
CO,Colorado Springs,College of Arts and Sciences,College of Engineering,Scholarship,Philosophy,631
MO,Kansas City,College of Agriculture and Natural Resources,Faculty Chair Endowments,Endowment,Animal Science,383
MO,Kansas City,College of Agriculture and Natural Resources,College of Arts and Sciences,Scholarship,Animal Science,383
IN,Indianapolis,College of Arts and Sciences,Faculty Chair Endowments,Endowment,Apparel and Textiles,699
IN,Indianapolis,College of Arts and Sciences,College of Arts and Sciences,Scholarship,Apparel and Textiles,699
MI,Detroit,College of Arts and Sciences,College of Music,Scholarship,Spanish,8816
MI,Detroit,College of Arts and Sciences,College of Arts and Sciences,Scholarship,Spanish,8816
AR,Little Rock,College of Arts and Sciences,College of Education,Scholarship,Arabic,5158
AR,Little Rock,College of Arts and Sciences,College of Agriculture and Natural Resources,Scholarship,Arabic,5158
IN,Indianapolis,College of Natural Science,Trustees Fund,Endowment,Human Biology,5453
IN,Indianapolis,College of Natural Science,College of Arts and Sciences,Scholarship,Human Biology,5453
TX,El Paso,College of Natural Science,Trustees Fund,Endowment,Earth Science Interdepartmental,9145
TX,El Paso,College of Natural Science,College of Agriculture and Natural Resources,Scholarship,Earth Science Interdepartmental,9145
LA,New Orleans,College of Business,College of Agriculture and Natural Resources,Scholarship,General Management,7610
LA,New Orleans,College of Business,Faculty Chair Endowments,Endowment,General Management,7610
OK,Tulsa,College of Business,Campus Museums,Campus Resource,Supply Chain Management,5901
OK,Tulsa,College of Business,College of Arts and Sciences,Scholarship,Supply Chain Management,5901
CO,Colorado Springs,College of Engineering,University Annual Fund,Endowment,Electrical Engineering,995
CO,Colorado Springs,College of Engineering,Trustees Fund,Endowment,Electrical Engineering,995
CA,Fresno,College of Agriculture and Natural Resources,Trustees Fund,Endowment,Natural Resource Recreation and Tourism,2300
CA,Fresno,College of Agriculture and Natural Resources,College of Arts and Sciences,Scholarship,Natural Resource Recreation and Tourism,2300
OH,Cincinnati,College of Arts and Sciences,Trustees Fund,Endowment,Global Studies in the Arts and Humanities,6997
OH,Cincinnati,College of Arts and Sciences,College of Natural Science,Scholarship,Global Studies in the Arts and Humanities,6997
CT,Hartford,College of Natural Science,Trustees Fund,Endowment,Astrophysics,9600
CT,Hartford,College of Natural Science,College of Business,Scholarship,Astrophysics,9600
TN,Memphis,College of Social Science,Trustees Fund,Endowment,Psychology,7944
TN,Memphis,College of Social Science,Diversity Fund,Endowment,Psychology,7944
NC,Raleigh,College of Education,Diversity Fund,Endowment,Kinesiology,83
NC,Raleigh,College of Education,Honors Program,Campus Resource,Kinesiology,83
CA,San Francisco,College of Social Science,College of Engineering,Scholarship,Geographic Information Science,2245
CA,San Francisco,College of Social Science,Honors Program,Campus Resource,Geographic Information Science,2245
AZ,Phoenix,College of Arts and Sciences,College of Natural Science,Scholarship,Interdisciplinary Humanities,7821
AZ,Phoenix,College of Arts and Sciences,College of Social Science,Scholarship,Interdisciplinary Humanities,7821
AZ,Phoenix,College of Agriculture and Natural Resources,College of Natural Science,Scholarship,Landscape Architecture,167
AZ,Phoenix,College of Agriculture and Natural Resources,College of Agriculture and Natural Resources,Scholarship,Landscape Architecture,167
